date,clones,uniques
2026-04-11,127,55
2026-04-12,162,75
2026-04-13,99,41
2026-04-14,45,16
2026-04-15,3,3
2026-04-16,79,34
2026-04-17,64,23
2026-04-18,29,14
2026-04-19,0,0
2026-04-20,4,4
2026-04-21,108,39
2026-04-22,130,49
2026-04-23,215,59
2026-04-24,53,21
2026-04-25,291,117
2026-04-26,54,17
2026-04-27,24,8
2026-04-28,18,5
2026-04-29,74,21
2026-04-30,81,21
2026-05-01,165,41
2026-05-02,98,28
2026-05-03,28,14
2026-05-04,26,12
2026-05-05,58,21
2026-05-06,5,5
2026-05-07,21,8
2026-05-08,109,28
2026-05-09,19,8
2026-05-10,18,9
2026-05-11,10,5
2026-05-12,11,6
2026-05-13,14,5
2026-05-14,12,4
2026-05-15,16,9
2026-05-16,15,8
2026-05-17,13,8
2026-05-18,5,4
2026-05-19,8,6
2026-05-20,3,2
