date,referrer,count,uniques
2026-04-25,github.com,36,1
2026-04-26,github.com,36,1
2026-04-27,github.com,34,1
2026-04-28,github.com,33,1
2026-04-29,github.com,33,1
2026-04-30,github.com,41,1
2026-05-01,github.com,41,1
2026-05-02,github.com,41,1
2026-05-03,github.com,39,1
2026-05-04,github.com,39,1
2026-05-05,github.com,39,1
2026-05-07,github.com,26,1
2026-05-08,github.com,26,1
2026-05-09,github.com,18,1
2026-05-10,github.com,18,1
2026-05-11,github.com,15,1
2026-05-12,github.com,9,1
2026-05-13,github.com,1,1
2026-05-14,github.com,1,1
2026-05-15,github.com,2,1
2026-05-16,github.com,2,1
2026-05-17,github.com,2,1
2026-05-18,github.com,2,1
2026-05-19,github.com,2,1
